# RM1120200.012                                                                
# Embrapa_ 02/02/2011 00:00:28 02/02/2011 00:01:29 0100 -060.0 -002.9 -90 00 30.0 1013.0
# 0000600 0010 0000600 0010 05                                                 
# 1 0 1 04000 1 0960 7.50 00355.o 0 0 00 000 12 000600 0.500 BT0               
# 1 1 1 04000 1 0960 7.50 00355.o 0 0 00 000 00 000600 3.1746 BC0              
# 1 0 2 04000 1 0990 7.50 00387.o 0 0 00 000 12 000600 0.020 BT1               
# 1 1 2 04000 1 0990 7.50 00387.o 0 0 00 000 00 000600 3.1746 BC1              
# 1 1 2 04000 1 0990 7.50 00408.o 0 0 00 000 00 000600 3.1746 BC2              
   76	 32.0245	  3.6333	  2.0562	  0.6000	  0.0000
   77	 22.3706	  2.9667	  2.0444	  0.3667	  0.0000
   78	 15.8018	  2.2667	  2.0360	  0.5000	  0.0000
   79	 11.2838	  1.8667	  2.0294	  0.4000	  0.0000
   80	  7.8874	  2.2000	  2.0232	  0.5000	  0.0000
   81	  4.7028	  2.6667	  2.0130	  0.3333	  0.0000
   82	  2.7279	  2.3667	  2.0121	  0.4000	  0.0667
   83	  2.2929	  1.8333	  2.0108	  0.4333	  0.0000
   84	  2.1942	  2.0000	  2.0123	  0.5333	  0.0000
   85	  2.1004	  1.6667	  2.0134	  0.3333	  0.0000
   86	  2.0481	  1.3000	  2.0077	  0.1667	  0.0000
   87	  1.9777	  1.4333	  2.0060	  0.2333	  0.0000
   88	  1.9297	  1.2333	  2.0047	  0.3000	  0.0000
   89	  1.9047	  1.1333	  2.0061	  0.4000	  0.0000
   90	  1.8811	  1.2333	  2.0050	  0.2333	  0.0000
   91	  1.8612	  1.5333	  2.0029	  0.4000	  0.0000
   92	  1.8199	  1.2667	  2.0044	  0.3000	  0.0000
   93	  1.8030	  1.0667	  2.0058	  0.1667	  0.0000
   94	  1.7924	  0.9667	  2.0035	  0.1667	  0.0000
   95	  1.7702	  0.8333	  2.0033	  0.2333	  0.0000
   96	  1.7517	  0.6000	  2.0023	  0.2333	  0.0000
   97	  1.7395	  0.5667	  2.0019	  0.1333	  0.0000
   98	  1.7222	  1.0000	  2.0028	  0.2667	  0.0000
   99	  1.7206	  1.0000	  2.0028	  0.3000	  0.0000
  100	  1.7169	  0.6000	  2.0026	  0.2000	  0.0000
  101	  1.7021	  1.1333	  2.0035	  0.1000	  0.0000
  102	  1.6862	  1.3000	  2.0014	  0.2667	  0.0333
  103	  1.6927	  0.7000	  2.0005	  0.1333	  0.0000
  104	  1.6779	  0.6333	  2.0002	  0.1667	  0.0000
  105	  1.6687	  0.9000	  2.0007	  0.1333	  0.0000
  106	  1.6667	  0.7000	  2.0002	  0.1333	  0.0000
  107	  1.6671	  0.5333	  2.0013	  0.1000	  0.0000
  108	  1.6681	  0.5667	  2.0029	  0.1000	  0.0333
  109	  1.6610	  0.3667	  2.0019	  0.1667	  0.0000
  110	  1.6589	  0.3333	  1.9998	  0.2333	  0.0000
  111	  1.6671	  0.4000	  2.0009	  0.2333	  0.0000
  112	  1.6563	  0.6000	  2.0009	  0.1333	  0.0000
  113	  1.6469	  0.6333	  1.9992	  0.1667	  0.0000
  114	  1.6457	  0.4333	  2.0009	  0.0333	  0.0000
  115	  1.6500	  0.6333	  2.0000	  0.2000	  0.0000
  116	  1.6447	  0.2333	  1.9994	  0.0667	  0.0000
  117	  1.6414	  0.7667	  1.9984	  0.0333	  0.0000
  118	  1.6341	  0.4667	  2.0011	  0.0667	  0.0000
  119	  1.6294	  0.4000	  2.0005	  0.0667	  0.0000
  120	  1.6345	  0.3667	  2.0009	  0.0333	  0.0333
  121	  1.6315	  0.3667	  2.0003	  0.1000	  0.0000
  122	  1.6323	  0.3667	  2.0001	  0.1000	  0.0000
  123	  1.6317	  0.6333	  1.9988	  0.0667	  0.0000
  124	  1.6331	  0.4000	  1.9995	  0.2000	  0.0000
  125	  1.6329	  0.3333	  2.0012	  0.1000	  0.0333
  126	  1.6335	  0.5000	  1.9983	  0.0000	  0.0000
  127	  1.6278	  0.1667	  1.9989	  0.0333	  0.0000
  128	  1.6374	  0.2667	  1.9997	  0.0333	  0.0000
  129	  1.6266	  0.5667	  1.9989	  0.1000	  0.0333
  130	  1.6256	  0.5000	  1.9985	  0.1000	  0.0000
  131	  1.6313	  0.6333	  1.9993	  0.0667	  0.0000
  132	  1.6280	  0.4667	  1.9980	  0.0667	  0.0000
  133	  1.6278	  0.2667	  1.9981	  0.0000	  0.0000
  134	  1.6270	  0.3000	  1.9997	  0.1333	  0.0000
  135	  1.6256	  0.5000	  1.9987	  0.2667	  0.0000
  136	  1.6180	  0.3333	  1.9981	  0.0667	  0.0000
  137	  1.6237	  0.4000	  1.9980	  0.1667	  0.0000
  138	  1.6227	  0.4333	  1.9987	  0.0333	  0.0000
  139	  1.6248	  0.4333	  1.9993	  0.1000	  0.0000
  140	  1.6286	  0.3667	  1.9985	  0.1333	  0.0000
  141	  1.6227	  0.5667	  2.0001	  0.0333	  0.0000
  142	  1.6209	  0.4667	  1.9983	  0.0000	  0.0000
  143	  1.6250	  0.1333	  1.9996	  0.1000	  0.0000
